instance,algorithm,seed,objv,lb,bkv,bklb,slope,wind
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,5,889.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,1,896.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,8,898.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,6,895.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,2,891.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,7,889.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,RS,1,869.0,0.0,564.0,444.0,Steep,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,683.0,186.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,752.0,188.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,808.0,203.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,834.0,260.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,814.0,193.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,742.0,189.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,816.0,185.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,771.0,189.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,817.0,186.0,615.0,443.0,Moderate,Light
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,752.0,186.0,615.0,443.0,Moderate,Light
