instance,algorithm,seed,objv,lb,bkv,bklb,first_release_time,last_release_time
Medium_Moderate_Light_High_Moderate_Moderate_VeryLate_VeryEarly_123,RS,1,881.0,0.0,508.0,487.0,VeryLate,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,2,749.0,198.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,6,753.0,242.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,10,809.0,187.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,3,436.0,198.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,9,646.0,189.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,4,437.0,200.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,8,547.0,194.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,7,792.0,238.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,5,507.0,194.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,MIP,1,560.0,192.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,3,445.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,6,444.0,0.0,436.0,316.0,Early,VeryEarly
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryEarly_123,IBS,4,445.0,0.0,436.0,316.0,Early,VeryEarly
