instance,algorithm,seed,objv
LA4,IBS_1,8,216
LA3,IBS_1,10,207
LB6,IBS_1,1,249
LB2,IBS_1,1,197
LB3,IBS_1,9,213
LA7,IBS_1,10,246
LB1,IBS_1,1,196
LB4,IBS_1,3,226
LA6,IBS_1,3,239
LA5,IBS_1,8,226
LA7,IBS_1,4,246
LB6,IBS_1,10,249
LA1,IBS_1,9,189
LA1,IBS_1,7,189
LB1,IBS_1,10,196
LB3,IBS_1,10,213
LA7,IBS_1,5,246
LB0,IBS_1,8,196
LA1,IBS_1,10,189
LB2,IBS_1,9,197
LA4,IBS_1,5,216
LA0,IBS_1,3,189
LA0,IBS_1,10,189
LB2,IBS_1,3,197
LA6,IBS_1,7,239
LB4,IBS_1,8,226
LA0,IBS_1,6,189
LA2,IBS_1,6,191
LA1,IBS_1,1,189
LB6,IBS_1,5,249
LB6,IBS_1,7,249
LA3,IBS_1,8,207
LB1,IBS_1,6,197
LB3,IBS_1,7,213
LA1,IBS_1,2,189
LA6,IBS_1,10,239
LB7,IBS_1,9,253
LA2,IBS_1,5,192
LB5,IBS_1,3,235
LB5,IBS_1,4,235
LB2,IBS_1,4,197
LA4,IBS_1,1,216
LA2,IBS_1,2,192
LA3,IBS_1,7,207
LA7,IBS_1,2,246
LA5,IBS_1,3,226
LB1,IBS_1,2,196
LA5,IBS_1,4,226
LB6,IBS_1,6,249
LA7,IBS_1,8,246
LA2,IBS_1,8,191
LB7,IBS_1,5,253
LB1,IBS_1,4,197
LA7,IBS_1,6,246
LB1,IBS_1,9,196
LB2,IBS_1,8,197
LA7,IBS_1,7,246
LB3,IBS_1,6,213
LA0,IBS_1,2,189
LA5,IBS_1,9,226
LA1,IBS_1,8,189
LA0,IBS_1,1,189
LB7,IBS_1,1,253
LA5,IBS_1,1,226
LB0,IBS_1,2,196
LB6,IBS_1,4,249
LA4,IBS_1,6,216
LA5,IBS_1,6,226
LB1,IBS_1,3,196
LB3,IBS_1,1,213
LA2,IBS_1,9,191
LB0,IBS_1,9,197
LB7,IBS_1,2,253
LB5,IBS_1,2,235
LA4,IBS_1,7,216
LB3,IBS_1,5,213
LB7,IBS_1,3,253
LB2,IBS_1,6,197
LA3,IBS_1,6,207
LA3,IBS_1,4,207
LB5,IBS_1,5,235
LA0,IBS_1,7,189
LB0,IBS_1,10,197
LB1,IBS_1,8,197
LB3,IBS_1,2,213
LB7,IBS_1,7,253
LB4,IBS_1,9,226
LB1,IBS_1,7,196
LA0,IBS_1,4,189
LB5,IBS_1,6,235
LA7,IBS_1,9,246
LA2,IBS_1,10,192
LB6,IBS_1,2,249
LB5,IBS_1,7,235
LB0,IBS_1,6,196
LA4,IBS_1,9,216
LA3,IBS_1,2,207
LA1,IBS_1,6,189
LA0,IBS_1,9,189
LB7,IBS_1,6,253
LB0,IBS_1,5,196
LB1,IBS_1,5,196
LB5,IBS_1,1,235
LB4,IBS_1,4,226
LA2,IBS_1,3,192
LB4,IBS_1,6,226
LA1,IBS_1,4,189
LB2,IBS_1,2,197
LA7,IBS_1,3,246
LB7,IBS_1,10,253
LB5,IBS_1,8,235
LB0,IBS_1,3,197
LB0,IBS_1,1,195
LA4,IBS_1,3,216
LB0,IBS_1,7,200
