instance,algorithm,seed,objv
LB7,IBS_C,9,269
LB7,IBS_C,8,266
LB5,IBS_C,8,257
LB0,IBS_C,4,214
LA7,IBS_C,4,265
LA2,IBS_C,7,212
LB1,IBS_C,3,221
LA4,IBS_C,9,248
LB3,IBS_C,6,233
LB6,IBS_C,8,266
LB7,IBS_C,1,268
LA5,IBS_C,3,250
LB5,IBS_C,7,253
LA7,IBS_C,8,272
LA1,IBS_C,10,221
LA3,IBS_C,8,231
LA1,IBS_C,7,216
LB5,IBS_C,5,255
LA0,IBS_C,7,208
LB4,IBS_C,5,252
LA2,IBS_C,1,212
LA7,IBS_F,10,261
LA2,IBS_F,6,196
LA0,IBS_F,1,193
LB4,IBS_F,5,232
LA5,IBS_F,3,241
LA0,IBS_F,2,191
LB0,IBS_F,4,200
LB2,IBS_F,5,201
LA4,IBS_F,9,230
LA2,IBS_F,10,198
LB0,IBS_F,10,199
LB5,IBS_F,8,246
LA5,IBS_F,6,235
LB1,IBS_F,7,210
LA5,IBS_F,5,240
LB0,IBS_F,6,200
LB4,IBS_F,8,237
LA7,IBS_F,7,263
LB0,IBS_F,8,201
LA2,IBS_F,4,198
LB7,IBS_F,4,260
LB4,IBS_F,2,236
LB4,IBS_F,4,235
LB7,IBS_F,5,262
LB7,IBS_F,6,261
LA6,IBS_F,4,263
LA5,IBS_F,4,237
LA4,IBS_F,3,220
LB1,IBS_F,6,208
LA0,IBS_F,8,192
LB1,IBS_F,9,211
LA1,IBS_F,4,192
LA1,IBS_F,9,203
LB5,IBS_F,5,242
LA6,IBS_F,5,255
LA0,IBS_F,3,194
LB6,IBS_F,8,261
LA3,IBS_F,4,219
LA2,IBS_F,7,197
LA0,IBS_F,9,192
LA0,IBS_F,5,193
LA6,IBS_F,7,255
LA4,IBS_F,5,222
LA6,IBS_F,8,259
LB2,IBS_F,8,202
LA3,IBS_F,1,213
LA0,IBS_F,10,194
LB7,IBS_F,1,260
LA3,IBS_F,10,212
LB0,IBS_F,5,200
LA7,IBS_F,4,261
LB4,IBS_F,6,234
LA5,IBS_F,8,241
LA7,IBS_F,3,263
LB0,IBS_F,3,199
LB3,IBS_F,8,221
LB1,IBS_F,1,203
LA1,IBS_F,7,200
LA5,IBS_F,2,243
LB7,IBS_F,9,261
LB6,IBS_F,5,260
LB1,IBS_F,10,204
LB0,IBS_F,7,197
LB4,IBS_F,1,234
LA5,IBS_F,7,236
LB5,IBS_F,10,242
LA1,IBS_F,8,207
LA7,IBS_F,9,263
LA1,IBS_F,5,208
LB4,IBS_F,10,233
LB5,IBS_F,6,245
LB1,IBS_F,2,203
LA3,IBS_F,5,213
LA2,IBS_F,9,198
LB7,IBS_F,3,258
LB3,IBS_F,3,223
LA1,IBS_F,1,204
LB7,IBS_F,8,260
LB1,IBS_F,4,202
LA4,IBS_F,2,222
LB5,IBS_F,3,245
LB2,IBS_F,6,198
LA7,IBS_F,2,258
LB6,IBS_F,2,260
LA4,IBS_F,6,228
LB3,IBS_F,1,219
