instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,7,891.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,1,898.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,5,890.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,3,898.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,6,855.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,RS,1,867.0,0.0,615.0,443.0,High,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,5,833.0,544.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,3,819.0,541.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,8,816.0,508.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,2,804.0,538.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,6,803.0,509.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,10,822.0,506.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,7,795.0,540.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,9,816.0,540.0,795.0,544.0,Low,Moderate
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,4,798.0,508.0,795.0,544.0,Low,Moderate
